l1_date,h1_date,tl_date,sl,old_sig_date,old_entry,old_status,old_net_R,new_sig_date,new_entry,new_status,new_net_R
2023-08-25,2023-09-06,2023-09-22,26.32,2023-09-28,31.22,WIN,0.0595,2023-09-28,32.48,LOSS,-0.3632
2023-09-22,2023-10-13,2023-10-20,27.84,2023-10-24,32.93,LOSS,-1.0063,2023-10-30,34.5,LOSS,-1.0049
2023-10-24,2023-11-09,2023-12-01,29.74,2023-12-06,32.11,LOSS,-1.0141,,,NO_SIGNAL,
2023-09-22,2023-11-09,2023-12-27,27.84,2023-12-28,31.71,LOSS,-1.0082,2024-02-27,,INVALIDATED_WAIT,
2023-08-25,2023-11-09,2024-01-08,26.32,2024-01-11,29.22,INVALIDATED,0.0,2024-02-27,,INVALIDATED_WAIT,
2024-02-29,2024-03-20,2024-03-25,24.35,2024-03-28,25.69,LOSS,-1.0204,2024-04-22,28.27,LOSS,-0.1645
2024-02-06,2024-03-04,2024-04-16,19.55,2024-04-17,24.51,WIN,0.7369,2024-04-22,28.27,LOSS,-0.0739
2024-04-16,2024-04-29,2024-05-24,23.22,2024-05-27,28.52,LOSS,-0.9798,2024-06-04,30.78,LOSS,-0.6556
2024-05-24,2024-06-11,2024-07-04,25.88,2024-07-09,28.55,LOSS,-1.0109,2024-07-22,,INVALIDATED_WAIT,
2024-05-24,2024-07-18,2024-07-25,25.88,2024-07-26,27.66,LOSS,-1.0163,,,NO_SIGNAL,
2024-04-16,2024-05-28,2024-08-08,23.22,2024-08-13,25.64,WIN,1.9746,2024-09-27,36.07,LOSS,-0.1571
2024-02-06,2024-06-11,2024-09-13,19.55,2024-09-24,26.07,WIN,1.976,2024-09-27,36.07,LOSS,-0.1221
2024-02-06,2024-03-20,2024-04-16,19.55,2024-04-17,24.51,WIN,0.7369,2024-04-22,28.27,LOSS,-0.0739
2024-11-27,2024-12-03,2024-12-13,32.49,2024-12-18,33.88,WIN,1.9716,2024-12-19,36.24,LOSS,-1.0098
2025-01-08,2025-02-12,2025-02-17,30.77,2025-02-19,33.65,LOSS,-1.012,2025-02-21,34.7,LOSS,-1.0089
2024-09-13,2024-10-09,2025-04-09,24.55,2025-04-11,31.12,WIN,0.1131,2025-05-06,32.55,WIN,0.3213
2025-04-25,2025-05-07,2025-05-13,30.67,2025-05-14,31.89,LOSS,-1.0279,2025-05-28,,INVALIDATED_WAIT,
2025-04-09,2025-05-29,2025-06-18,27.27,2025-06-23,31.53,WIN,0.6253,2025-06-23,31.99,WIN,0.9539
2025-07-15,2025-09-01,2025-09-04,31.5,2025-09-05,34.98,WIN,1.9873,2025-09-24,43.86,WIN,0.0187
2026-04-02,2026-04-23,2026-05-29,48.35,2026-06-02,53.03,WIN,1.9859,2026-06-09,66.8,LOSS,-0.128
2026-08-03,2026-08-19,2026-09-04,50.7,2026-09-07,59.16,HOLDING,0.0,2026-09-09,65.76,HOLDING,0.0
