date,value
2023-07-03,1000000.0
2023-07-04,1000000.0
2023-07-05,982414.46
2023-07-06,986923.64
2023-07-07,984669.05
2023-07-10,980911.4
2023-07-11,970389.99
2023-07-12,985420.58
2023-07-13,1010221.05
2023-07-14,1040282.23
2023-07-17,1056064.35
2023-07-18,1089883.17
2023-07-19,1106416.82
2023-07-20,1101156.11
2023-07-21,1111677.53
2023-07-24,1103410.7
2023-07-25,1056815.88
2023-07-26,1068840.35
2023-07-27,1061325.05
2023-07-28,1042536.82
2023-07-31,1046294.46
2023-08-01,1050052.11
2023-08-02,1057567.41
2023-08-03,1058318.94
2023-08-04,1041033.76
2023-08-07,1036524.58
2023-08-08,1049300.58
2023-08-09,1030512.35
2023-08-10,1021493.99
2023-08-11,1004208.82
2023-08-14,1017736.35
2023-08-15,1031263.88
2023-08-16,1022997.05
2023-08-17,1042536.82
2023-08-18,1037276.11
2023-08-21,1032015.4
2023-08-22,1037276.11
2023-08-23,1031263.88
2023-08-24,1097398.47
2023-08-25,1056815.88
2023-08-28,1047797.52
2023-08-29,1032015.4
2023-08-30,1054561.29
2023-08-31,1019239.4
2023-09-01,991432.81
2023-09-04,1007966.46
2023-09-05,1005711.87
2023-09-06,983165.99
2023-09-07,986172.11
2023-09-08,981662.93
2023-09-11,991432.81
2023-09-12,981662.93
2023-09-13,982414.46
2023-09-14,995190.46
2023-09-15,1056064.35
2023-09-18,1032766.93
2023-09-19,1032766.93
2023-09-20,1037276.11
2023-09-21,1019990.93
2023-09-22,1022245.52
2023-09-25,1050052.11
2023-09-26,1081616.35
2023-09-27,1084622.47
2023-09-28,1092889.29
2023-10-09,1059821.99
2023-10-10,1065082.7
2023-10-11,1062828.11
2023-10-12,1078610.23
2023-10-13,1071846.47
2023-10-16,1079361.76
2023-10-17,1088380.11
2023-10-18,1079361.76
2023-10-19,1057567.41
2023-10-20,1065082.7
2023-10-23,1038779.17
2023-10-24,1069591.88
2023-10-25,1002705.76
2023-10-26,1006463.4
2023-10-27,1074852.58
2023-10-30,1051555.17
2023-10-31,1041033.76
2023-11-01,1040282.23
2023-11-02,1026003.17
2023-11-03,1029760.82
2023-11-06,1030512.35
2023-11-07,1022997.05
2023-11-08,1023748.58
2023-11-09,1018487.87
2023-11-10,1004960.34
2023-11-13,1010972.58
2023-11-14,1002705.76
2023-11-15,1007966.46
2023-11-16,1009469.52
2023-11-17,1043288.35
2023-11-20,1001954.23
2023-11-21,998196.58
2023-11-22,1000451.17
2023-11-23,1005711.87
2023-11-24,995190.46
2023-11-27,1003457.29
2023-11-28,1007214.93
2023-11-29,1018487.87
2023-11-30,1013227.17
2023-12-01,1022245.52
2023-12-04,1051555.17
2023-12-05,1031263.88
2023-12-06,1032766.93
2023-12-07,1056815.88
2023-12-08,1026754.7
2023-12-11,1048549.05
2023-12-12,1058318.94
2023-12-13,1047045.99
2023-12-14,1066585.76
2023-12-15,1053809.76
2023-12-18,1034269.99
2023-12-19,1037276.11
2023-12-20,1022997.05
2023-12-21,1049300.58
2023-12-22,1036524.58
2023-12-25,1028257.76
2023-12-26,1067337.29
2023-12-27,1059070.46
2023-12-28,1069591.88
2023-12-29,1119192.82
2024-01-02,1134330.97
2024-01-03,1134330.97
2024-01-04,1134330.97
2024-01-05,1114869.69
2024-01-08,1122517.87
2024-01-09,1152345.77
2024-01-10,1119458.6
2024-01-11,1112575.23
2024-01-12,1117928.96
2024-01-15,1108751.14
2024-01-16,1106456.69
2024-01-17,1078923.24
2024-01-18,1055131.9
2024-01-19,1035104.84
2024-01-22,995965.02
2024-01-23,997848.37
2024-01-24,1018796.08
2024-01-25,1034943.27
2024-01-26,1048035.59
2024-01-29,1038434.56
2024-01-30,1041925.84
2024-01-31,1055890.98
2024-02-01,1044980.72
2024-02-02,1050217.65
2024-02-05,1069856.12
2024-02-06,1058073.04
2024-02-07,1048908.41
2024-02-08,1056327.39
2024-02-19,1107823.85
2024-02-20,1121329.41
2024-02-21,1121329.41
2024-02-22,1121329.41
2024-02-23,1110786.92
2024-02-26,1104784.27
2024-02-27,1116789.57
2024-02-28,1095180.03
2024-02-29,1109586.39
2024-03-01,1123992.76
2024-03-04,1152805.48
2024-03-05,1156407.07
2024-03-06,1157607.6
2024-03-07,1207661.86
2024-03-08,1203633.04
2024-03-11,1208769.82
2024-03-12,1193359.49
2024-03-13,1177006.32
2024-03-14,1177006.32
2024-03-15,1208433.46
2024-03-18,1235058.47
2024-03-19,1198556.44
2024-03-20,1209721.77
2024-03-21,1256959.68
2024-03-22,1259965.73
2024-03-25,1269413.31
2024-03-26,1274995.98
2024-03-27,1215733.86
2024-03-28,1258677.42
2024-03-29,1296467.75
2024-04-01,1278431.46
2024-04-02,1257389.12
2024-04-03,1262971.78
2024-04-08,1278002.02
2024-04-09,1205856.85
2024-04-10,1211868.94
2024-04-11,1237635.08
2024-04-12,1240211.69
2024-04-15,1257818.55
2024-04-16,1221316.53
2024-04-17,1287020.17
2024-04-18,1339840.75
2024-04-19,1329963.73
2024-04-22,1307633.08
2024-04-23,1263401.21
2024-04-24,1146594.73
2024-04-25,1094613.73
2024-04-26,1094613.73
2024-04-29,1054274.01
2024-04-30,1045345.65
2024-05-06,1045345.65
2024-05-07,1049559.96
2024-05-08,1060128.9
2024-05-09,1055599.36
2024-05-10,1064658.45
2024-05-13,1067678.15
2024-05-14,1043520.57
2024-05-15,1026082.52
2024-05-16,1018190.84
2024-05-17,997967.34
2024-05-20,1004467.75
2024-05-21,1028663.73
2024-05-22,1047442.69
2024-05-23,1041303.41
2024-05-24,1024691.25
2024-05-27,1049248.36
2024-05-28,1026496.92
2024-05-29,1041664.55
2024-05-30,1091862.17
2024-05-31,1081750.42
2024-06-03,1092223.3
2024-06-04,1087889.69
2024-06-05,1104862.99
2024-06-06,1153977.2
2024-06-07,1112085.67
2024-06-11,1120752.88
2024-06-12,1181062.25
