entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2023-07-05,2024-01-02,long,82100,12.1746,13.8255,134330.97,13.44,122,605599,,
2024-01-05,2024-01-18,long,83600,13.549,12.6158,-79199.07,-6.99,9,601168,,
2024-01-19,2024-01-22,long,50500,20.8555,19.7059,-59166.88,-5.62,1,002779,,
2024-01-23,2024-02-20,long,49100,20.2651,22.8427,125364.39,12.6,14,601225,,
2024-02-23,2024-03-07,long,65200,17.1886,18.5327,86332.45,7.7,9,000933,,
2024-03-08,2024-03-13,long,77100,15.6473,15.2666,-30655.54,-2.54,3,600875,,
2024-03-15,2024-04-25,long,45700,25.7473,23.9713,-82392.59,-7.0,27,000550,,
2024-04-29,2024-04-30,long,48100,22.7132,21.7131,-49268.08,-4.51,1,600761,,
2024-05-07,2024-05-15,long,169900,6.1496,6.0429,-19263.13,-1.84,6,601998,,
2024-05-16,2024-06-13,long,37900,27.0136,32.5878,209966.97,20.5,19,002938,,
2024-06-20,2024-06-21,long,51400,23.9991,22.7663,-64672.14,-5.24,1,603324,,
2024-06-24,2024-07-22,long,106200,11.0259,10.5074,-56308.69,-4.81,20,001286,,
2024-07-23,2024-08-29,long,96000,11.6039,10.8689,-71728.92,-6.44,27,600025,,
2024-09-03,2024-09-05,long,83200,12.5295,13.7273,98430.53,9.44,2,603189,,
2024-09-19,2024-09-25,long,45500,25.08,28.7,163322.98,14.31,4,603822,,
2024-09-27,2024-09-30,long,25700,50.6467,55.124,113542.77,8.72,1,600660,,
2024-10-14,2024-10-15,long,97800,14.5,15.5,96161.85,6.78,1,000935,,
2024-10-16,2024-10-29,long,1016300,1.49,1.88,394374.2,26.04,9,600340,,
2024-10-30,2024-11-18,long,27500,69.2219,58.6938,-291385.09,-15.3,13,000628,,
2024-11-20,2024-11-25,long,84000,19.2519,17.771,-126074.96,-7.79,3,603090,,
2024-11-26,2024-12-19,long,86500,17.2356,15.6506,-138632.79,-9.3,17,603110,,
2024-12-23,2024-12-24,long,42600,31.685,29.5943,-90477.33,-6.7,1,002864,,
2025-01-23,2025-02-05,long,96900,13.0223,12.4349,-58261.57,-4.62,3,002536,,
2025-02-06,2025-03-28,long,65900,18.2655,20.4248,140859.97,11.7,36,002967,,
2025-03-31,2025-04-07,long,174000,7.7262,7.5087,-39293.52,-2.92,4,002233,,
2025-04-16,2025-04-28,long,283100,4.61,4.29,-91955.13,-7.04,8,000677,,
2025-04-29,2025-05-12,long,30900,39.1697,36.4748,-84537.17,-6.98,6,002294,,
2025-05-13,2025-05-26,long,83600,13.5024,16.6661,263032.05,23.29,9,002734,,
2025-05-27,2025-05-29,long,195900,7.1024,8.4835,268810.55,19.31,2,603839,,
2025-05-30,2025-06-05,long,49400,33.5925,40.3802,333218.71,20.07,3,003010,,
2025-06-09,2025-06-18,long,176600,11.29,10.8744,-75529.44,-3.79,7,002215,,
2025-06-19,2025-07-29,long,124700,15.38,18.6667,407413.93,21.24,28,002317,,
2025-07-30,2025-09-01,long,103800,22.3951,26.2271,394886.32,16.98,23,600389,,
2025-09-02,2025-09-18,long,387500,7.02,7.8,299015.93,10.99,12,600869,,
2025-09-19,2025-09-22,long,339400,8.8961,8.4002,-171495.08,-5.68,1,601872,,
2025-09-24,2025-10-21,long,132700,21.45,26.74,698290.36,24.52,13,605287,,
2025-10-24,2025-12-24,long,174300,20.3346,24.5591,731842.53,20.64,43,600801,,
2025-12-29,2026-01-28,long,761100,5.62,5.48,-111173.88,-2.6,20,600115,,
2026-01-29,2026-03-04,long,399800,10.42,9.54,-356125.05,-8.55,18,603730,,
2026-03-05,2026-03-09,long,106500,35.75,33.02,-294700.52,-7.74,2,605589,,
2026-03-10,2026-03-12,long,374000,9.4,11.57,807063.58,22.95,2,600172,,
2026-03-16,2026-03-20,long,294800,14.66,13.23,-425980.69,-9.85,4,002140,,
2026-03-27,2026-05-14,long,242700,16.05,19.1,735357.94,18.87,30,001896,,
2026-05-15,2026-05-22,long,1921900,2.41,2.63,417384.79,9.01,5,002496,,
